_id,dataNotificacao,cnes,ocupacaoSuspeitoCli,ocupacaoSuspeitoUti,ocupacaoConfirmadoCli,ocupacaoConfirmadoUti,saidaSuspeitaObitos,saidaSuspeitaAltas,saidaConfirmadaObitos,saidaConfirmadaAltas,origem,_p_usuario,estadoNotificacao,municipioNotificacao,estado,municipio,excluido,validado,_created_at,_updated_at
76OIyK78pH,2020-05-26T03:00:00.000Z,2363070,59.0,20.0,59.0,20.0,0.0,3.0,4.0,2.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-04T12:41:14.678Z,2020-08-01T09:08:14.527Z
zZF7rJaC61,2020-05-27T03:00:00.000Z,2363070,59.0,28.0,59.0,28.0,0.0,4.0,0.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-04T12:42:24.033Z,2020-08-01T08:40:55.292Z
tSqFbLOgkO,2020-05-28T03:00:00.000Z,2363070,48.0,28.0,48.0,28.0,0.0,2.0,3.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-04T12:43:19.692Z,2020-08-01T08:04:06.417Z
VfKKbCh5T2,2020-05-29T03:00:00.000Z,2363070,52.0,28.0,52.0,28.0,0.0,0.0,1.0,0.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-04T12:44:14.221Z,2020-08-01T07:43:53.935Z
2JV9ry6H2O,2020-05-30T03:00:00.000Z,2363070,49.0,28.0,49.0,28.0,2.0,3.0,1.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-04T12:45:22.315Z,2020-08-01T07:22:24.297Z
Aui1xpNw9z,2020-05-24T03:00:00.000Z,2363070,60.0,21.0,60.0,21.0,0.0,0.0,3.0,3.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-04T21:35:21.915Z,2020-08-01T09:52:46.506Z
DhNa4aCuob,2020-06-01T03:00:00.000Z,2363070,43.0,32.0,43.0,32.0,0.0,1.0,2.0,11.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:28:45.592Z,2020-08-01T06:48:12.353Z
s9xgCYWNP3,2020-06-02T03:00:00.000Z,2363070,33.0,32.0,33.0,32.0,0.0,0.0,1.0,4.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:30:12.584Z,2020-08-01T06:28:41.853Z
ApAbk4SdqA,2020-06-03T03:00:00.000Z,2363070,40.0,24.0,40.0,24.0,0.0,0.0,2.0,5.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:32:25.886Z,2020-08-01T06:09:26.179Z
shaEtqZ9Da,2020-06-04T03:00:00.000Z,2363070,49.0,24.0,49.0,24.0,0.0,0.0,2.0,2.0,parse-cloud,_User$Eu3qeTtHXO,Paraíba,Campina Grande,Paraíba,Campina Grande,False,False,2020-06-09T10:33:35.985Z,2020-08-01T05:51:34.899Z
